component_a,component_a_instruction,component_b,component_b_instruction,relationship,behavioral_consequence,authority,recommendation
Superpowers brainstorming,"Design approval, sequential questions, persisted spec before implementation",Native/repo,"Ask only when missing information materially changes behavior; otherwise proceed",conflict,"Premature approval gates and zero implementation in A/D/E engineering and C/F combined-stack trials",Owner/repository plus native,"Remove global brainstorming; use native explicit design discovery only when requirements are materially ambiguous"
Superpowers TDD,"Mandatory test first and delete implementation written first",Native/repo,"Failing regression when practical; preserve useful existing work",conflict,"Destructive restarts and disproportionate ceremony",Native/repo,"Remove routine Superpowers TDD"
Superpowers writing-plans,"Comprehensive 2-5 minute steps, plan artifact, commit, execution choice",Repository plan and Guardrails,"One durable plan for complex work; short plan otherwise",conflict,"Duplicate plans, context cost, files, user gate",Repository plan,"Remove routine Superpowers planning"
Superpowers SDD/review,"Fresh implementer and reviewer per task plus recovery ledger",Native/repo,"Adaptive agents only for independent work; integrated verification",conflict,"One-line Task D fix reached 1.58M input tokens, five waits, and seven workflow artifacts",Native/repo,"Remove Superpowers coordination"
Coordinator,"2-3 substantial verticals in one checkout; no second ledger",Superpowers coordination,"Bite-size tasks, worktree-first execution, SDD ledger",conflict,"Incompatible granularity, topology, and persistence; combined Task C failed",Coordinator only when explicitly activated,"Never co-activate for the same task graph"
Coordinator,"All coordinated writers share current checkout/branch",Worktree isolation,"Substantive work should use an isolated worktree",sequencing conflict,"Claims become invalid if agents switch worktrees",Repository isolation then Coordinator,"Select one worktree before claims; never switch during coordination"
Superpowers verification/review,"Mandatory fresh full verification and independent review",Native/repository checks,"Risk-proportionate narrow-to-broad verification",near-total redundancy,"Task B combined took 307.4s and 642070 input tokens without outcome gain",Repository checks plus native,"One verification owner and risk-triggered review"
Superpowers finish branch,"Present merge/push/keep menu and wait",Global Git rules,"Reversible local merge already authorized; publish is explicit",conflict,"Unnecessary terminal approval gate",Global Git rules,"Remove Superpowers branch finishing"
GitHub gh-fix-ci,"Diagnose and wait for approval before implementation",Authorized user fix request,"Routine in-scope fix should continue",conflict,"Stops an already authorized task",User request plus native/Guardrails,"Use GitHub only to retrieve evidence"
GitHub auth skills,"Treat failed sandbox gh auth as logout",Global auth agreement,"Retry at host boundary and validate with non-secret gh api user",conflict,"False authentication questions",Global agreement,"Update or narrow GitHub skills"
GitHub specialist skills,"Assume flat review comments and incomplete Actions connector",Current connector schema,"Review-thread and workflow/job/log surfaces exist",stale redundancy,"Unnecessary scripts and CLI/auth calls",Live tool schema,"Update or remove stale specialist routing"
GitHub yeet,"Own checks, commit, push, PR; may install missing dependencies",Superpowers finish,"Own branch decision, checks, merge/push",conflict,"Duplicate publication flow and possible unauthorized environment mutation",Explicit owner publish authority,"Keep at most one explicit GitHub publish path"
Codex Security fix-finding,"Root cause, test, smallest fix, broad verification",Native implementation,"Same implementation methodology",partial redundancy,"Duplicate engineering instructions",Security owns invariant; native owns implementation,"Narrow Security remediation to exploit closure"
Codex Security scan,"Internal worker orchestration and canonical scan pipeline",Coordinator/Superpowers/native coordination,"Independent task/agent systems",conflict,"Nested coordination; Security trial timed out at 900.2s",Security alone during explicit scan,"Disable other coordination layers and bound termination"
Codex Security deep scan,"May persist helper config; default multi-day discovery budget",Ordinary task autonomy,"No external/persistent expansion without authority",conflict,"Extreme time/context cost and persistent mutation risk",Explicit owner deep-scan scope,"Never auto-activate"
Cloudflare umbrella,"Use for any Cloudflare task",Cloudflare specialists,"Several specialists also mandate loading",partial redundancy,"Multiple retrieval workflows and larger instruction surface",One selected router/specialist,"Load only the narrowest applicable skill"
Turnstile Spin,"Create account widget, deploy Worker, persist skill",Ordinary code-change authority,"Repository change does not imply external deployment",conflict,"External mutation beyond task authority",Explicit owner deployment authority,"Code/config only unless deployment is authorized"
web-perf,"Requires Chrome DevTools MCP",Current runtime,"Dependency absent",unavailable,"Predictable stall",Runtime availability,"Disable until dependency is installed and verified"
Process Jobs,"Detach and release turn after starting job",Terminal task requirement,"Poll assigned work to completion",conflict,"Stopped work and required another user turn",Native terminal polling,"Removed by owner; do not restore"
Guardrails and Superpowers gates,"Mandatory branch, plan, per-task review, broad review, and completion rituals",Global continuous-autonomous-completion agreement,"Continue routine work; ask only for material tradeoffs; prefer complete verified terminal outcomes",conflict,"Task H spent the full 1200-second budget in repeated checks/reviews and did not return despite correct preserved workspaces",Owner completion agreement plus risk-proportionate native verification,"Remove both workflow plugins; do not let process rituals prevent terminal delivery"
