capability,component,compared_with,classification,finding
general execution,"Native Codex shell, Git, worktrees, subagents, and polling","Repository-specific AGENTS.md and exact verification commands",C,"Native execution is authoritative; concise repository constraints usefully reinforce it."
requirements and verification,"Repository-specific AGENTS.md and exact verification commands","Codex Engineering Guardrails 1.1.1",G,"Repository-specific invariants and exact checks outperformed the generic methodology."
local integration,"Global reversible-local-merge agreement","Native Codex shell, Git, worktrees, subagents, and polling",C,"Adds bounded standing authority while retaining native Git mechanics."
coordination,"Global automatic-coordination agreement","Superpowers 6.2.0; Codex Coordinator 0.4.0",F,"Its omnipresent preference may recreate the same plan, ledger, worktree, and review pressure; it was not independently ablated, so replace only the prescriptive preference with proportional triggers."
GitHub authentication,"Global GitHub sandbox-auth agreement","GitHub plugin 0.1.8",F,"The host-boundary rule is authoritative where plugin guidance treats sandbox keyring failure as logout."
ordinary workflow,"Maximum optional stack (configuration)","Native Codex shell, Git, worktrees, subagents, and polling",E,"Near-total workflow duplication plus instruction collisions; current maximum lost two of seven trials and cost materially more."
engineering workflow,"Codex Engineering Guardrails 1.1.1","Native Codex shell, Git, worktrees, subagents, and polling",G,"Native plus repository checks matched or beat correctness with much less ceremony."
engineering workflow,"Codex Engineering Guardrails 1.1.1","Superpowers 6.2.0",E,"Both own planning, TDD, debugging, review, and verification; composition added cost without correctness."
engineering workflow,"Superpowers 6.2.0","Native Codex shell, Git, worktrees, subagents, and polling",G,"Native provided the same primitives; mandatory gates caused zero-file failures and workflow artifacts."
coordination,"Superpowers 6.2.0","Codex Coordinator 0.4.0",F,"Bite-size SDD/worktree/ledger instructions conflict with coarse shared-checkout durable claims."
coordination,"Codex Coordinator 0.4.0","Native Codex shell, Git, worktrees, subagents, and polling",D,"The active claim board is distinct but normal decomposition, agents, worktrees, and recovery overlap; unique mode remains unmeasured."
security remediation,"Codex Security fix-finding skill 0.1.19","Native Codex shell, Git, worktrees, subagents, and polling",G,"Native matched correctness with much lower cost; the skill-only path also timed out once and produced a nonportable patch."
security review,"Codex Security formal scan/tool pipeline 0.1.19","Native Codex shell, Git, worktrees, subagents, and polling",A,"Canonical scan and report lifecycle is distinct, but its outcome lift remains uncertain."
security coordination,"Codex Security formal scan/tool pipeline 0.1.19","Superpowers 6.2.0; Codex Coordinator 0.4.0",F,"Nested orchestration has competing owners and should not be composed."
GitHub workflow,"GitHub plugin workflow skills 0.1.8","Native Codex shell, Git, worktrees, subagents, and polling",G,"Native git/gh and repository rules cover mechanics; the measured skill instructions added no ordinary-task lift."
GitHub operations,"GitHub plugin connector/app 0.1.8","Native git and gh",B,"Structured connector context may complement native remote operations but was not role-tested."
plugin administration,"Plugin Management 0.1.0","Native Codex shell, Git, worktrees, subagents, and polling",A,"Permission, dependency, connection, and removal administration is a distinct narrow capability."
artifact templates,"Default Templates 0.1.1","Native Codex shell, Git, worktrees, subagents, and polling",G,"All catalog skills were unavailable on this host; ordinary artifact creation remains native."
long-running processes,"Codex Process Jobs 0.3.0","Native Codex shell, Git, worktrees, subagents, and polling",F,"Its cross-client registry is distinct, but turn release directly conflicts with terminal ownership and native polling performed better."
durable cross-client registry,"Codex Process Jobs 0.3.0","Native Codex shell, Git, worktrees, subagents, and polling",A,"The removed plugin uniquely supplied durable cross-client job identity and replayable logs; this capability disappears and remains a documented gap."
meta-routing,"Empire 1.5.1","Native Codex shell, Git, worktrees, subagents, and polling",G,"No operational route remained; native capabilities and narrow system skills cover its advertised surfaces."
browser recording,"Codex Browser Recorder","Native browser/web surfaces",G,"Not installed; no current callable capability."
browser replay,"OpenAI Record and Replay","Native browser/web surfaces",G,"Unavailable on Linux; no current callable capability."
remote computer access,"Parallels app","Native Codex shell, Git, worktrees, subagents, and polling",G,"No demonstrated development advantage over native local execution/retrieval."
web retrieval,"Exa app","Native web search and fetch",G,"Duplicates native retrieval without demonstrated lift."
on-chain research,"Nansen app","Native web search and fetch",A,"Wallet/entity and on-chain intelligence is a distinct specialized data surface."
